,discoverymethod,st_spectype,pl_bmassj,pl_orbper,hostname,pl_radj
0,Microlensing,,0.79,,OGLE-2016-BLG-1227L,1.24
1,Radial Velocity,M3.5 Ve,0.04153,9.567,GJ 480,0.33
2,Transit,,0.052,31.884,Kepler-276,0.259
3,Transit,,0.016,6.88337562,Kepler-829,0.188
4,Transit,,0.0383,1.921036,K2-283,0.314
5,Transit,,0.0155,11.11990653,Kepler-477,0.185
6,Transit,G5,1.94,10.8635,HAT-P-15,1.06
7,Radial Velocity,G0,1.33,4.07182,HD 149143,1.22
8,Radial Velocity,K1 III,1.808,354.1,HD 210702,1.2
9,Radial Velocity,M0,0.36,57.435,HIP 12961,1.18
10,Transit,G8 V,1.19,4.1877558,XO-5,1.14
11,Radial Velocity,K0,1.681,779.9,HD 5608,1.2
12,Radial Velocity,K0 V,3.74,4375.0,HD 95872,1.16
13,Microlensing,,0.066,,OGLE-2015-BLG-0966L,0.433
14,Transit,G5,0.899,2.9776412,WASP-123,1.318
15,Radial Velocity,G8.5V,0.01237,162.87,tau Cet,0.161
16,Transit,,0.0171,12.11839,K2-254,0.195
17,Radial Velocity,K0 V,0.02665,42.378,HD 26965,0.254
18,Transit,,0.00879,0.70531,K2-282,0.132
19,Eclipse Timing Variations,,14.15,3225.0,NSVS 14256825,1.1
20,Transit,,0.00553,6.48021673,Kepler-1390,0.105
21,Transit,,0.00733,14.613612,Kepler-393,0.119
22,Transit,,0.021,47.332773,Kepler-263,0.22
23,Transit,,0.00869,5.86601526,Kepler-1431,0.131
24,Transit,,0.0157,8.103636,Kepler-237,0.186
25,Transit,,0.0354,84.703921,Kepler-1510,0.3
26,Transit,,0.0172,13.767102,Kepler-169,0.196
27,Transit,,0.25,42.882,Kepler-145,0.385
28,Transit,,0.0394,22.714613,Kepler-219,0.319
29,Transit,,0.0015,2.36436901,Kepler-910,0.073
30,Transit,,0.00687,1.06378867,Kepler-1037,0.114
31,Transit,,0.0102,20.16034462,Kepler-992,0.145
32,Transit,,0.037,4.754,Kepler-113,0.162
33,Transit,,0.0336,187.747029,Kepler-1097,0.291
34,Transit,,0.00724,5.262155,Kepler-382,0.118
35,Transit,,0.00839,0.67933627,Kepler-1310,0.128
36,Transit,,13.8,1.4079405,WD 1856+534,0.928
37,Radial Velocity,K1.5 III,3.88,479.1,42 Dra,1.16
38,Radial Velocity,G5 V,0.057,38.021,61 Vir,0.398
39,Radial Velocity,G5V,7.49,116.688,70 Vir,1.13
40,Transit,,0.029,9.946047,Kepler-255,0.267
41,Transit,G4 V,0.426,3.00265,K2-60,0.683
42,Transit,M0 V,10.41,16.3850021,Kepler-52,0.164
43,Transit,,0.0295,6.308205,Kepler-248,0.269
44,Radial Velocity,K0 IV,1.99,452.8,24 Sex,1.19
45,Radial Velocity,K0 IV,0.86,883.0,24 Sex,1.24
46,Radial Velocity,G0 V,0.07866,102.54,rho CrB,0.48
47,Transit,F9,0.662,3.332687,HAT-P-43,1.281
48,Astrometry,L1.5,28.5,246.36,DENIS-P J082303.1-491201,1.06
49,Radial Velocity,G8,9.18,124.6,HIP 63242,1.12
50,Imaging,G0 V,4.0,,GJ 504,1.16
51,Imaging,M3.5 V,24.5,,2MASS J01225093-2439505,1.0
52,Imaging,,7.5,,WD 0806-661,1.13
53,Eclipse Timing Variations,M,4.2,4343.5,RR Cae,1.16
54,Transit,G,0.672,3.1810781,HATS-28,1.194
55,Eclipse Timing Variations,,1.9,416.0,2MASS J19383260+4603591,1.2
